Unnamed: 0,link,usr_name,profit,totBI,totCashes,roi,roiBI,tournaments,abi,itm,tot_tournaments,tot_avFieldSize,tot_avBI,tot_profit,tot_avROI,tot_totROI,ly_tournaments,ly_avFieldSize,ly_avBI,ly_profit,ly_avROI,ly_totROI
0,https://mttmarket.com/users/5565a6b70cf25c1c3c036d36,Shpocker,694.94,4029.1,4724.04,17.25,20.76,715,5.64,23.36,6634.0,3196.93,1.32,3284.74,29.94,37.62,1930.0,159.78,1.82,1230.6,52.48,35.01
1,https://mttmarket.com/users/559d77630cf2d95aabb270cd,Bioinformix,-3313.16,15825.2,12512.04,-20.94,-0.01,786,20.13,21.88,11311.0,1900.04,10.68,10281.51,43.46,8.51,1661.0,427.37,20.77,1441.27,24.98,4.18
2,https://mttmarket.com/users/55ae596c61ccb6000e13603e,maximusaces2,-1231.68,4414.04,3182.36,-27.9,-25.86,643,6.86,17.42,2123.0,1313.88,2.54,152.19,3.48,2.83,1035.0,250.52,3.59,667.5,27.34,17.94
3,https://mttmarket.com/users/55a66e790cf2c4481c7c5cc1,zum-zum077,-3166.26,5752.1,2585.84,-55.05,-55.14,577,9.97,19.76,5281.0,3947.69,5.25,3917.6,23.53,14.12,437.0,481.98,5.78,-1459.15,-25.08,-57.8
4,https://mttmarket.com/users/55b774d761ccb60012f31507,angerr,15009.1,8460.23,23469.33,177.41,97.5,725,11.67,23.17,7000.0,1831.84,8.69,22554.72,26.57,37.09,683.0,480.46,18.64,7278.35,52.07,57.18
5,https://mttmarket.com/users/55aff4fa61ccb60011d702f8,dmitry83,9029.91,8094.41,17124.32,111.56,106.89,950,8.52,17.47,9118.0,1190.63,2.61,12333.54,31.63,51.76,2000.0,379.01,7.02,1573.6,11.26,11.21
6,https://mttmarket.com/users/53a040220cf2c8120d43379c,xquizzza,2318.37,4674.96,6993.33,49.59,39.27,397,11.78,22.67,12480.0,1665.75,5.91,14915.59,35.09,20.23,3280.0,360.23,9.54,7734.77,33.32,24.72
7,https://mttmarket.com/users/55eebec761ccb65540d2383a,nur1ck,-324.0,324.0,0.0,0.0,-100.0,2,162.0,0.0,44784.0,1331.38,49.15,391517.99,26.93,17.79,1703.0,343.23,56.12,-11541.02,-5.14,-12.08
8,https://mttmarket.com/users/5457ce390cf24a5c0d8533a3,matters71,21057.42,31599.29,52656.71,66.64,55.57,2010,15.72,22.74,9998.0,1917.14,4.79,25869.07,36.98,53.98,1284.0,428.26,9.73,3868.65,22.09,30.95
9,https://mttmarket.com/users/542d594c0cf2c31f2c266ac9,papa_af_true,4662.88,20615.88,25278.76,22.62,29.23,2866,7.19,17.76,18189.0,513.2,2.4,10059.39,27.99,23.07,3252.0,305.12,4.86,6887.46,54.19,43.62
10,https://mttmarket.com/users/555ef8880cf2820a8e3d8b32,Luckybet101,1909.08,7545.06,9454.14,25.3,35.73,1214,6.22,18.53,4786.0,906.0,3.21,2410.85,19.92,15.7,1639.0,223.64,3.56,1874.25,37.58,32.09
12,https://mttmarket.com/users/55cfcc9061ccb6133155fcad,mnevezet2015,-1609.82,4599.74,2989.92,-35.0,-6.74,369,12.47,17.62,1088.0,1999.4,8.34,3051.71,44.62,33.63,726.0,477.58,8.65,3087.08,77.0,49.14
13,https://mttmarket.com/users/54a29d6b0cf23c2fa9bd5ce6,regisser,937.9,15279.06,16216.96,6.14,7.41,1667,9.17,18.9,5722.0,2644.69,4.52,5365.81,65.3,20.74,1895.0,348.72,5.82,1393.84,47.67,12.63
14,https://mttmarket.com/users/537d2c0b0cf2c8120d3e6047,AwadeuS,1734.63,11679.27,13413.9,14.85,45.72,1259,9.28,20.89,5231.0,2051.61,4.6,-546.12,15.76,-2.27,1309.0,336.88,5.28,2325.51,70.14,33.63
15,https://mttmarket.com/users/533436bd52000058c1a9c6b7,arecibo_eye,5651.52,12567.61,18219.13,44.97,72.18,859,14.63,23.4,5071.0,3764.48,6.98,29128.26,118.26,82.28,419.0,474.65,10.76,62.13,3.25,1.38
16,https://mttmarket.com/users/55360d190cf26d1eaea49faf,Sytnik,1866.39,6172.87,8039.26,30.24,35.41,818,7.55,25.18,4720.0,3486.18,5.28,7156.2,28.42,28.74,789.0,426.4,5.52,1164.2,61.11,26.71
